ID_SOURCE,ID_TARGET,NILAI_TRANSAKSI
1665,224,35400000
1341,1784,2700000
1341,443,2400000
1341,428,2600000
443,1784,10200000
1050,405,300000
1050,388,7500000
1050,1080,33000000
1050,1711,6000000
1050,1801,500000
1050,1796,100000
1050,31,1100000
1050,1292,100000
1050,1076,1100000
618,906,400000
618,1354,200000
1267,931,9800000
1267,978,100000
8,325,4600000
1265,374,1200000
1421,1489,100000
1361,1074,4800000
325,8,45100000
325,706,3300000
325,1785,99100000
325,1554,63600000
978,1587,300000
978,1260,300000
978,574,100000
978,931,2800000
978,389,400000
105,963,100000
771,340,29900000
771,1733,1700000
393,1684,100000
393,888,100000
393,946,100000
393,1778,100000
393,716,100000
393,287,100000
143,1436,300000
409,863,100000
602,1693,1300000
1578,336,10800000
1821,1021,100000
1821,524,9100000
1821,359,2100000
133,723,200000
378,706,100000
378,8,300000
444,1810,600000
1677,995,200000
1236,626,100000
1236,743,1000000
1236,623,500000
1611,1747,154300000
1663,620,100000
1663,1360,100200000
1663,674,100000
636,1657,2600000
636,1638,1000000
636,610,100000
636,647,100000
636,362,200000
1658,490,600000
1658,225,1200000
225,1796,800000
225,16,17400000
225,1055,16000000
225,388,1600000
139,1697,100000
107,1127,100000
107,1827,200000
1136,490,36800000
1136,1027,700000
767,220,4800000
51,455,1300000
1752,889,400000
74,446,11600000
1597,1756,1300000
1597,1272,400000
1597,978,400000
196,1715,100000
977,508,100000
977,1482,200000
977,901,800000
1667,1521,1200000
1667,507,100000
1667,1347,100000
1335,1359,700000
1335,1588,100000
1335,525,1300000
1335,1139,800000
319,1350,2500000
438,499,2500000
1401,1497,195300000
406,1348,100000
1624,1144,1200000
140,1838,1500000
329,780,200000
32,778,1200000
1716,1468,400000
1416,691,16500000
115,565,100000
717,1577,300000
717,1155,100000
717,334,400000
717,1535,400000
717,1268,600000
439,613,300000
439,1590,400000
610,647,1000000
610,741,100000
610,636,100000
610,251,800000
1803,1012,2700000
1803,937,3800000
1007,1309,5600000
1625,1586,1400000
1625,688,1300000
1625,1546,300000
1625,1749,100000
1625,538,100000
1625,132,100000
1625,1410,1200000
493,747,2000000
493,1368,600000
1169,1426,100000
1351,712,1800000
1351,1777,5800000
1351,73,4200000
191,190,600000
1781,338,4900000
1781,255,100000
719,76,300000
44,108,3100000
868,1575,100000
1703,769,800000
1223,1503,500000
95,425,300000
1354,906,5400000
55,906,200000
628,320,5200000
294,613,100000
294,1590,200000
294,973,4900000
606,410,100000
606,1034,1778900000
1619,1089,1400000
1317,1483,300000
1317,1564,300000
1317,656,800000
328,734,500000
1794,484,1100000
1794,820,121100000
1794,956,1300000
1794,1302,400000
1794,83,1300000
1794,186,900000
1794,111,4800000
1794,232,200000
1794,211,400000
983,1429,20800000
1047,87,200000
1047,657,100000
1047,1191,200000
1047,1598,100000
1799,1419,200000
1799,1566,2400000
1799,679,200000
526,616,4000000
526,1309,1400000
526,347,100000
1627,1046,200000
1352,597,1600000
1800,1222,100000
377,1218,1200000
635,1124,100000
635,394,200000
171,1142,300000
171,475,500000
171,326,1100000
171,1574,100000
171,485,200000
171,1172,400000
148,1802,400000
148,144,900000
148,897,200000
148,882,400000
148,725,400000
148,422,400000
148,1285,900000
148,1306,600000
148,939,600000
1259,1685,1700000
1259,557,400000
1259,461,400000
1495,1559,2400000
617,408,2200000
675,1231,400000
675,1393,200000
675,1396,200000
675,555,100000
675,219,33400000
1424,19,200000
1424,627,2100000
1424,1318,6100000
1424,728,100000
1424,717,300000
228,1854,200000
1796,225,300000
1796,1292,100000
1796,1055,200000
1796,1080,2100000
1820,1747,149800000
1320,18,800000
1320,796,100000
1595,942,600000
1595,242,100000
195,942,900000
242,1284,2600000
193,432,200000
1294,1041,6100000
1333,1637,100000
1026,1648,300000
33,782,200000
1068,235,100000
1068,1049,500000
1068,1715,100000
1226,996,600000
1226,1293,100000
187,769,2200000
187,813,500000
187,996,100000
187,1293,200000
1004,813,100000
1004,1501,100000
323,581,100000
1676,171,100000
1676,1290,1100000
1676,928,1300000
1071,1489,21800000
1490,1588,600000
1358,1332,2300000
1358,501,200000
1358,1353,2500000
1358,845,10600000
1358,1245,500000
1358,1706,5300000
1617,1569,100000
186,232,2200000
186,83,2200000
186,931,1700000
186,820,11200000
186,956,3400000
186,1587,3200000
186,484,2300000
1420,740,800000
18,1320,1200000
1049,235,4800000
1049,1715,2300000
45,1321,100000
45,77,300000
45,1036,200000
129,272,400000
585,275,1200000
585,887,1200000
585,1390,1400000
1135,610,100000
1135,362,200000
1135,647,200000
643,204,1900000
643,1732,300000
643,1669,600000
643,835,200000
869,1077,100000
1139,1588,13100000
1398,194,1900000
299,644,96900000
331,1387,200000
194,1015,2700000
194,1045,800000
194,1364,2300000
194,513,1200000
194,367,400000
194,1815,300000
194,1745,400000
194,964,1200000
194,1722,1300000
1423,769,1700000
1423,1293,100000
1296,61,100000
973,495,200000
973,764,200000
973,613,600000
1489,358,100000
1489,135,200000
1489,564,200000
1489,1421,1200000
1489,664,100000
30,692,900000
6,1090,2200000
1166,1338,2200000
644,1122,1800000
644,1114,200000
644,238,4200000
772,123,1200000
772,357,900000
1734,599,100000
317,2,100000
1666,835,2300000
1666,362,2100000
1666,1669,1600000
1666,1351,200000
1666,918,1600000
1666,610,1600000
1666,204,4600000
1666,572,1800000
1666,1638,3200000
