srcid,dstid,srcname,dstname
800615437411045376,1454021089160417296,abimanyu6363,AM21574760
800615437411045376,1233798992217030657,abimanyu6363,HyEvan1
800615437411045376,817600858565197825,abimanyu6363,Muhammad_Saewad
97885984,1258626853541052421,iwantarigan,ajengcute16__
216583703,1912717152,CitacitajadiWNA,AT_AbdillahToha
1478765437986893825,1912717152,weka2410,AT_AbdillahToha
404695797,490902040,pekabemuda,sahabatodie
404695797,1197510240205336577,pekabemuda,Gardabangsaa
404695797,1748068861,pekabemuda,JamaahNu
404695797,404695797,pekabemuda,pekabemuda
1574000931213287424,80323736,RKIJ_KabBdg,ridwankamil
1574000931213287424,80323736,RKIJ_KabBdg,ridwankamil
1574000931213287424,80323736,RKIJ_KabBdg,ridwankamil
1574000931213287424,80323736,RKIJ_KabBdg,ridwankamil
129750289,1912717152,ZAEffendy,AT_AbdillahToha
1162627628,1443801854756880385,chaidar_2000,kba_news
1243544797,20963426,abdoellah_k,korantempo
454691660,1912717152,hdverry,AT_AbdillahToha
1331112764,1912717152,rang_simabua,AT_AbdillahToha
68612959,1420614189421195271,peter_julio,barikade_98
813592340644315137,1447610310529982467,otnielyefta17,TeddGus
469158006,1912717152,hidupmati1kali,AT_AbdillahToha
813592340644315137,1447610310529982467,otnielyefta17,TeddGus
1412806303,1912717152,Taufan_40,AT_AbdillahToha
2556727333,2156465923,arieftata01,yusuf_dumdum
1420614189421195271,1420614189421195271,barikade_98,barikade_98
1310585080973148165,1912717152,sonsih56gmailc1,AT_AbdillahToha
1375314225808035840,1447610310529982467,tehamenuk,TeddGus
1078240940811145216,1912717152,Ibrahim78704863,AT_AbdillahToha
1375314225808035840,1447610310529982467,tehamenuk,TeddGus
804171068831191040,1912717152,kebenaran411,AT_AbdillahToha
1339222464853766150,69183155,Kii_Lurah,detikcom
1339222464853766150,1428008412047052808,Kii_Lurah,benny_rhamdani_
73661849,1912717152,gus_sugiarto,AT_AbdillahToha
296476161,1912717152,iim666,AT_AbdillahToha
3199058082,1912717152,danurkm182,AT_AbdillahToha
1595069725045710849,2314935228,RadenHidayatuln,AldiNeno
1595069725045710849,80323736,RadenHidayatuln,ridwankamil
