srcid, dstid, srcname, dstname
1359151510085636098,1387838579435458565,DhaniNusantara1,tukangrosok___
1026261268737347584,2558197662,Arifin2Zainal,patriot016610
1569742638664019974,409372768,Hendry230867,tonaytoni1
1445706612,2558197662,rossypauzi,patriot016610
1387838579435458565,1387838579435458565,tukangrosok___,tukangrosok___
1023331032,2558197662,ahmad_chm,patriot016610
1347771081059233793,409372768,_NusantaraKu,tonaytoni1
1249352392954368001,1556284464505823232,denni_sauya,adiastaraya
1226725839099707392,1408658286253985798,aan_muba,PagiPerindu
1448851169145593857,2558197662,Razis77498534,patriot016610
1093013478971891713,2558197662,Sunarti25231614,patriot016610
2905567770,1478190519213694976,UalwaysBeMySide,SalimCipok
1249352392954368001,409372768,denni_sauya,tonaytoni1
1377102483273576448,2558197662,SulaimanJati2,patriot016610
943536788,1556284464505823232,IciOriza09,adiastaraya
1413912059637501954,409372768,Maira_616,tonaytoni1
1495612577703170048,1475396921506160641,gelmbel9018,NidyaLuna
1598181723573227520,2522886655,proudbear19,Hidup_Toleransi
1219501779693342725,2558197662,TonyFat9,patriot016610
993181832433692672,2558197662,HendraHanifah,patriot016610
535315292,15256823,MARV3Louis,chaterine_8
393187515,1249352392954368001,GadisNKRI_,denni_sauya
1413912059637501954,1249352392954368001,Maira_616,denni_sauya
1978790995,1478190519213694976,LaingenLisa,SalimCipok
4131009614,1097107026956627968,DWahied,jonsa61664335
1144407878658166784,1052339653,Crypto_Khair,siregar_najeges
325983289,1512637359929499652,OttyYunianto,NyataNyataKerja
292688028,2877780722,errysober,yohaness6411
1219011228,1502537587407294464,naswardisihaloh,Sekber_AniesId
1541671810080862208,1052339653,abadrana101,siregar_najeges
1310491734086877184,1172443351607472129,riyadisugeng167,heryawan_g
3016314474,1518055859569389568,abahnajmi,JarnasABW
1295036374475665408,1249352392954368001,Alishaa04927143,denni_sauya
1476086469517213698,1475396921506160641,FiankaPutri,NidyaLuna
1476095388553674753,1475396921506160641,MillaBianca20,NidyaLuna
1475398625333321729,1475396921506160641,RaniSudibyo,NidyaLuna
1587817026109591552,1398125066685059072,PRIMETI87950504,TemanGanjar2705
1353310787087945730,1052339653,BrengosSon,siregar_najeges
2981342274,1052339653,27e70604536240d,siregar_najeges
1475823376421699584,1475396921506160641,DaraSagita99,NidyaLuna
2292314018,1475396921506160641,kaukutangkap_,NidyaLuna
199574853,1322544809605652482,agusyuliarto,pks_dkijakarta
305003958,1052339653,rosinmunir,siregar_najeges
1174287141909590017,15256823,seruanhl,chaterine_8
814148438879191041,379288910,GKawi369,pengarang_sajak
742024154644381696,1379546070783430661,terbucinz,DM_N4BYL
742024154644381696,1249352392954368001,terbucinz,denni_sauya
1377809135312412673,1379546070783430661,kirarachelsea,DM_N4BYL
154390739,379288910,Qutu_Qupret,pengarang_sajak
1421116257659592714,1456283686312103939,IndraBa46861342,Yurissa_Samosir
1377809135312412673,1249352392954368001,kirarachelsea,denni_sauya
1269648152908296192,1052339653,Donaymokoginta,siregar_najeges
849562015882465280,1172443351607472129,FirzaHusainID,heryawan_g
1423155348194533376,1534200395009904640,Mujilah20982075,Gr4sssss
1254359179411611648,111869546,no_onetoyou,Eka_Dutajaladri
1527613566882566145,1159475566069731331,AnakGem77459981,BiLLRaY2019
2887126429,968501989200904197,desita5769,Kang_Ngibull
1497116561902997504,1502537587407294464,Arya_Sundoro,Sekber_AniesId
1497116561902997504,69183155,Arya_Sundoro,detikcom
1497116561902997504,1052339653,Arya_Sundoro,siregar_najeges
1211817759039877120,1444604407228682248,CrEdhie,menang2024
1556459552425771008,1441027429972070404,Penawar81469159,RajaEmasW4bu
1567188649028243456,1567364114141556738,Teman4Ganjar,GanjarTerbaik
1377478453130194945,1249352392954368001,w3_esbe,denni_sauya
1249883777532186626,1052339653,BlackredGanz,siregar_najeges
1379546070783430661,1556284464505823232,DM_N4BYL,adiastaraya
1202978827346989062,1244569328818642944,dalem_abdhi,Gelang_Alit2
1289106099186987008,1249352392954368001,Aditya4nanda,denni_sauya
1556284464505823232,1379546070783430661,adiastaraya,DM_N4BYL
1377799841862967296,1249352392954368001,s4_mijo,denni_sauya
1377805824291074049,1249352392954368001,denni_loys,denni_sauya
1377818590938734595,1249352392954368001,den_Mijo,denni_sauya
1657382304,1243076846515662848,sinsa_destriyan,Nailazaara__
1375462822285516820,1249352392954368001,BintangKirara,denni_sauya
105064577,69183155,ramadoni_nst,detikcom
1657382304,1379546070783430661,sinsa_destriyan,DM_N4BYL
1495448403727110144,154435354,Djaya_Manggala,ch_chotimah2
1477575780041302019,69183155,bejomodo,detikcom
1291218441102213120,1441027429972070404,Tehtarik_mantap,RajaEmasW4bu
3672722779,1213931120737153024,mang_ib,Revenge00810455
3672722779,1344992219652997121,mang_ib,RokhanaSti
1598262866162814977,1518548511087685633,SariEkanati0008,prabowomuda08
1092784978755088389,1518548511087685633,DSudedeh,prabowomuda08
1216713225607114754,1502537587407294464,ElvisKayo3,Sekber_AniesId
1092777850455744512,1518548511087685633,SuciHan58214280,prabowomuda08
1092822841966260230,1518548511087685633,CMarbani,prabowomuda08
1598258345600643072,1518548511087685633,RasimYuliana,prabowomuda08
806335456308707328,69183155,Niawahdania667,detikcom
1394662022910922761,1502537587407294464,Mahmud35233344,Sekber_AniesId
1356688293321084930,1397093247533469697,potato71336056,Inamala_Retrisa
1302148265127718917,69183155,Dayat92156395,detikcom
1032341208,1249352392954368001,Yogefsyzlim,denni_sauya
1113640993578860544,379288910,Aldamar83697681,pengarang_sajak
181495879,2744418961,jjsengui,AyuriAndin
1096331506107043846,1518548511087685633,ElvinaFany,prabowomuda08
1020984185979166721,1518548511087685633,nisarya_,prabowomuda08
2256063276,1249352392954368001,SoftWarNews,denni_sauya
1511610166139289605,1518548511087685633,AryakamT,prabowomuda08
1392875110743216128,1163933832912834561,PiusLeza5,DoanxEwon
1089749302895726592,1518548511087685633,citraeka8,prabowomuda08
1020987759178084352,1518548511087685633,Kamuning2,prabowomuda08
1026074719873720320,69183155,FokusJitu,detikcom
230779004,1502537587407294464,jalulambang,Sekber_AniesId
1343139911487037440,1260061504767836162,SagaJakTim,Dharma_tc
3792364874,1052339653,munikumuni,siregar_najeges
2864673186,69183155,andarisqi8,detikcom
2154795679,1052339653,Sangramadhan,siregar_najeges
506059176,506059176,Urrangawak,Urrangawak
325983289,1502537587407294464,OttyYunianto,Sekber_AniesId
1100047282731245568,1398125066685059072,HRMalik12,TemanGanjar2705
742024154644381696,1172443351607472129,terbucinz,heryawan_g
742024154644381696,1172443351607472129,terbucinz,heryawan_g
1548332335040724993,1159475566069731331,burungpipit1974,BiLLRaY2019
1596318122,69183155,Mhdirf1995,detikcom
1380421455523979269,1052339653,galery_rds,siregar_najeges
824284052,164604281,aksarahitam,TheArieAir
1372465045192384516,1379546070783430661,MarkEsso8,DM_N4BYL
1546572036129955840,1052339653,prie_2_new,siregar_najeges
1597979900107182081,1518548511087685633,AdelliaFeronika,prabowomuda08
742593741626609664,1049488491178995712,NKRIjayalah,parwatyRizky
81792587,69183155,Iwancrd,detikcom
1474762141487951874,69183155,higam88,detikcom
1231969720548511746,154435354,Danimas19,ch_chotimah2
1249352392954368001,1049488491178995712,denni_sauya,parwatyRizky
1362747288,1502537587407294464,HendraAlvareza,Sekber_AniesId
1349616301543604227,725349607807455232,WtheLiar,noire172
1590426218351841280,1518548511087685633,infojatim_id,prabowomuda08
393187515,1398125066685059072,GadisNKRI_,TemanGanjar2705
1350955458635436036,69183155,AmulaniAmulani1,detikcom
154435354,1398125066685059072,ch_chotimah2,TemanGanjar2705
1595820096198279170,1518548511087685633,ardelia_arista,prabowomuda08
1110469072674668546,1052339653,HettyMunir,siregar_najeges
1535026371067449344,1512637359929499652,Deww0602,NyataNyataKerja
1595818091061317632,1518548511087685633,radhanisa,prabowomuda08
1589508274902032386,1518548511087685633,AhmadHamdan0902,prabowomuda08
1436182819080794116,69183155,SaitaRich0108,detikcom
1598306838298361859,1518548511087685633,arumsari_amalia,prabowomuda08
1113817772780179456,1052339653,AlFatihndf,siregar_najeges
1022008237896462336,69183155,GNotopriyanto,detikcom
1475816812138745857,1249352392954368001,super_mijo,denni_sauya
121425273,1052339653,JamalBoegis,siregar_najeges
232763422,69183155,rieza_interisti,detikcom
1287690023668551680,1249352392954368001,ArtOfpol,denni_sauya
1243076846515662848,15256823,Nailazaara__,chaterine_8
946825349744041984,1052339653,Hasanudin500,siregar_najeges
1243076846515662848,1249352392954368001,Nailazaara__,denni_sauya
1476378089554792450,1052339653,safrizalidris2,siregar_najeges
1466414123156049922,1379546070783430661,pejuang_sinamot,DM_N4BYL
1466414123156049922,1049488491178995712,pejuang_sinamot,parwatyRizky
1240115615857127424,1052339653,its__Arthur19,siregar_najeges
1432328670648037378,1052339653,Safa_Andriana,siregar_najeges
1595791848630472706,1052339653,HRMAU_CHMPO_AGM,siregar_najeges
2899447903,69183155,alikhlasmugusi,detikcom
1361953101796634629,1052339653,Safitridede1,siregar_najeges
